,Timestamp,msTimestamp,,Region0R,Region1G,,,LedState
75,57934.63716,57934637.16,246768427,3626.783363,1425.298885,2,1,4
76,57934.66232,57934662.32,247589004,1988.866546,1959.70518,4,2,1
77,57934.68726,57934687.26,248410557,2606.790597,2102.062164,1,4,2
78,57934.71224,57934712.24,249231102,3626.630018,1425.37023,2,1,4
79,57934.73728,57934737.28,250052767,1988.37179,1958.013902,4,2,1
80,57934.76269,57934762.69,250873360,2607.464738,2099.770754,1,4,2
81,57934.78739,57934787.39,251693953,3625.631826,1425.743738,2,1,4
82,57934.81248,57934812.48,252514994,1988.325497,1959.621246,4,2,1
83,57934.83761,57934837.61,253335571,2605.792405,2101.407475,1,4,2
84,57934.86298,57934862.98,254157204,3625.764919,1425.110033,2,1,4
85,57934.88765,57934887.65,254977765,1988.250271,1958.282492,4,2,1
86,57934.91269,57934912.69,255799334,2608.023146,2100.362492,1,4,2
87,57934.93793,57934937.93,256619927,3625.452441,1425.630426,2,1,4
88,57934.96279,57934962.79,257440552,1987.882821,1957.531279,4,2,1
89,57934.98804,57934988.04,258262105,2608.092586,2100.76118,1,4,2
90,57935.01295,57935012.95,259082218,3626.537432,1425.223344,2,1,4
91,57935.03825,57935038.25,259903851,1988.0217,1961.551738,4,2,1
92,57935.06335,57935063.35,260724444,2607.14358,2100.161049,1,4,2
93,57935.08808,57935088.08,261544941,3626.586618,1425.097443,2,1,4
94,57935.11337,57935113.37,262366590,1987.845208,1963.469639,4,2,1
95,57935.13836,57935138.36,263186719,2606.75009,2101.00459,1,4,2
96,57935.1633,57935163.3,264008320,3625.785172,1424.85823,2,1,4
97,57935.1886,57935188.6,264828897,1988.487523,1960.376656,4,2,1
98,57935.21367,57935213.67,265650418,2606.752984,2100.992,1,4,2
99,57935.23844,57935238.44,266471027,3626.661844,1424.660984,2,1,4
100,57935.26377,57935263.77,267291572,1988.258951,1960.662033,4,2,1
101,57935.28851,57935288.51,268899637,2606.209042,2102.729443,1,4,2
102,57935.3137,57935313.7,269721670,3627.830741,1424.560262,2,1,4
103,57935.33907,57935339.07,270542199,1987.981193,1961.199213,4,2,1
104,57935.36379,57935363.79,271364328,2606.460759,2102.632918,1,4,2
105,57935.38893,57935388.93,272184921,3628.872333,1425.62623,2,1,4
106,57935.41403,57935414.03,273006986,1988.270524,1959.700984,4,2,1
107,57935.43889,57935438.89,273827563,2607.612297,2102.242623,1,4,2
108,57935.46409,57935464.09,274649116,3623.832188,1425.311475,2,1,4
109,57935.48923,57935489.23,275469709,1988.692948,1958.563672,4,2,1
110,57935.51424,57935514.24,276290318,2606.77613,2102.523803,1,4,2
111,57935.53938,57935539.38,277111919,3625.380108,1424.388197,2,1,4
112,57935.5644,57935564.4,277932464,1987.781555,1959.352656,4,2,1
113,57935.58939,57935589.39,278753569,2607.435805,2102.183869,1,4,2
114,57935.61454,57935614.54,279574162,3623.846655,1424.413377,2,1,4
115,57935.63936,57935639.36,280394675,1987.405425,1956.687738,4,2,1
116,57935.66468,57935664.68,281216404,2608.347197,2102.77141,1,4,2
117,57935.68946,57935689.46,282036917,3624.867993,1425.546492,2,1,4
118,57935.71476,57935714.76,282858486,1987.492224,1959.063082,4,2,1
119,57935.73956,57935739.56,283679127,2605.792405,2102.108328,1,4,2
120,57935.76481,57935764.81,284500680,3624.086799,1425.743738,2,1,4
121,57935.78968,57935789.68,285320873,1988.464376,1957.422164,4,2,1
122,57935.81501,57935815.01,286141258,2606.304521,2102.50282,1,4,2
123,57935.83991,57935839.91,286963003,3623.027848,1424.698754,2,1,4
124,57935.86488,57935864.88,287783532,1987.903074,1959.734557,4,2,1
125,57935.89025,57935890.25,288605165,2605.937071,2101.336131,1,4,2
126,57935.915,57935915,289425806,3626.684991,1425.290492,2,1,4
127,57935.94004,57935940.04,290247327,1987.335986,1962.168656,4,2,1
128,57935.96511,57935965.11,291067856,2606.420253,2103.841574,1,4,2
129,57935.99044,57935990.44,291889473,3625.764919,1425.798295,2,1,4
130,57936.01563,57936015.63,292710130,1987.524051,1959.906623,4,2,1
131,57936.04022,57936040.22,293530179,2606.550452,2103.300197,1,4,2
132,57936.06533,57936065.33,294351764,3624.509222,1425.424787,2,1,4
133,57936.09057,57936090.57,295172309,1988.218445,1958.269902,4,2,1
134,57936.11542,57936115.42,295993958,2606.159855,2104.534033,1,4,2
135,57936.14077,57936140.77,296814519,3624.995298,1424.828852,2,1,4
136,57936.16553,57936165.53,297634600,1987.486438,1959.780721,4,2,1
137,57936.19085,57936190.85,298455785,2606.530199,2102.926689,1,4,2
138,57936.21596,57936215.96,299276810,3628.235805,1424.958951,2,1,4
139,57936.24069,57936240.69,300098347,1988.279204,1960.103869,4,2,1
140,57936.26619,57936266.19,300918972,2607.577577,2103.950689,1,4,2
141,57936.29079,57936290.79,302527069,3623.111754,1425.030295,2,1,4
142,57936.31914,57936319.14,303347102,1987.211573,1959.323279,4,2,1
143,57936.34157,57936341.57,304167679,2606.272694,2101.77259,1,4,2
144,57936.366,57936366,304989232,3625.322242,1425.047082,2,1,4
145,57936.39116,57936391.16,305809713,1987.425678,1959.608656,4,2,1
146,57936.41645,57936416.45,306631506,2606.009403,2102.209049,1,4,2
147,57936.44118,57936441.18,307452499,3624.986618,1426.054295,2,1,4
148,57936.46623,57936466.23,308274068,1988.785533,1959.41141,4,2,1
149,57936.49132,57936491.32,309094693,2605.526221,2101.424262,1,4,2
150,57936.51686,57936516.86,309916742,3624.488969,1425.533902,2,1,4
151,57936.54141,57936541.41,310737351,1988.227125,1960.120656,4,2,1
152,57936.56652,57936566.52,311558904,2605.873418,2100.908066,1,4,2
153,57936.59171,57936591.71,312379001,3624.659675,1425.38282,2,1,4
154,57936.61663,57936616.63,313199578,1986.525859,1957.623607,4,2,1
155,57936.64191,57936641.91,314021179,2604.828933,2100.496787,1,4,2
156,57936.66673,57936666.73,314841804,3624.300904,1425.328262,2,1,4
157,57936.69208,57936692.08,315663421,1987.845208,1959.713574,4,2,1
158,57936.71709,57936717.09,316483982,2607.334539,2102.343344,1,4,2
159,57936.74188,57936741.88,317305087,3625.018445,1426.159213,2,1,4
160,57936.76726,57936767.26,318125600,1987.975407,1961.635672,4,2,1
161,57936.79203,57936792.03,318946241,2606.261121,2101.256393,1,4,2
162,57936.81708,57936817.08,319767794,3626.928029,1425.454164,2,1,4
163,57936.84243,57936842.43,320588355,1987.949367,1960.620066,4,2,1
164,57936.86732,57936867.32,321410052,2606.975769,2102.045377,1,4,2
165,57936.89257,57936892.57,322230549,3621.864738,1424.854033,2,1,4
166,57936.91732,57936917.32,323052086,1988.238698,1959.260328,4,2,1
167,57936.94244,57936942.44,323872743,2606.781917,2100.719213,1,4,2
168,57936.9674,57936967.4,324694296,3623.192767,1424.879213,2,1,4
169,57936.9927,57936992.7,325514921,1987.963834,1960.036721,4,2,1
170,57937.0177,57937017.7,326336538,2606.345027,2100.366689,1,4,2
171,57937.04315,57937043.15,327156635,3623.843761,1424.770098,2,1,4
172,57937.0678,57937067.8,327977196,1988.881013,1958.13141,4,2,1
173,57937.0927,57937092.7,328798765,2605.696926,2100.929049,1,4,2
174,57937.11775,57937117.75,329619390,3622.272694,1425.072262,2,1,4
175,57937.14323,57937143.23,330440959,1987.405425,1958.664393,4,2,1
176,57937.16791,57937167.91,331261568,2606.538879,2099.439213,1,4,2
177,57937.19295,57937192.95,332081665,3623.20434,1425.026098,2,1,4
178,57937.21818,57937218.18,332903218,1987.605063,1957.871213,4,2,1
179,57937.24311,57937243.11,333723795,2605.803978,2100.00577,1,4,2
180,57937.26811,57937268.11,334545460,3622.689331,1425.282098,2,1,4
181,57937.29312,57937293.12,336152437,1987.498011,1959.071475,4,2,1
182,57937.31853,57937318.53,336974006,2606.657505,2100.51777,1,4,2
183,57937.34326,57937343.26,337794647,3620.881013,1425.911607,2,1,4
184,57937.36832,57937368.32,338615176,1987.521157,1958.450361,4,2,1
185,57937.39377,57937393.77,339436361,2605.841591,2100.19882,1,4,2
186,57937.41859,57937418.59,340257370,3622.779024,1425.13941,2,1,4
187,57937.44353,57937443.53,341078939,1987.118987,1958.152393,4,2,1
188,57937.46854,57937468.54,341899580,2606.38264,2100.119082,1,4,2
189,57937.49396,57937493.96,342721021,3621.505967,1424.178361,2,1,4
190,57937.51872,57937518.72,343541742,1987.547197,1958.441967,4,2,1
191,57937.54372,57937543.72,344363375,2605.274503,2101.109508,1,4,2
192,57937.56909,57937569.09,345184304,3622.125136,1425.428984,2,1,4
193,57937.59384,57937593.84,346005889,1987.683183,1957.820852,4,2,1
194,57937.61893,57937618.93,346826482,2605.948644,2101.73482,1,4,2
195,57937.64433,57937644.33,347648563,3622.206148,1425.110033,2,1,4
196,57937.66906,57937669.06,348469140,1987.769982,1960.145836,4,2,1
197,57937.69414,57937694.14,349290757,2606.237975,2101.806164,1,4,2
198,57937.71918,57937719.18,350111254,3622.133816,1425.080656,2,1,4
199,57937.74442,57937744.42,350931879,1988.163472,1958.4,4,2,1
200,57937.76946,57937769.46,351753480,2606.588065,2099.795934,1,4,2
201,57937.79433,57937794.33,352573657,3622.923689,1425.491934,2,1,4
202,57937.81976,57937819.76,353395194,1988.04774,1959.486951,4,2,1
203,57937.84443,57937844.43,354215771,2605.720072,2100.060328,1,4,2
204,57937.8695,57937869.5,355037372,3621.15009,1424.551869,2,1,4
205,57937.89468,57937894.68,355857949,1986.887523,1958.408393,4,2,1
206,57937.91994,57937919.94,356678606,2606.318987,2101.243803,1,4,2
207,57937.94495,57937944.95,357499679,3622.36528,1424.467934,2,1,4
208,57937.96977,57937969.77,358320656,1987.289693,1958.504918,4,2,1
209,57937.99479,57937994.79,359141857,2604.360217,2100.643672,1,4,2
210,57938.02011,57938020.11,359962882,3621.268716,1425.496131,2,1,4
211,57938.04486,57938044.86,360784067,1986.641591,1957.753705,4,2,1
212,57938.07013,57938070.13,361604580,2605.63038,2101.050754,1,4,2
213,57938.09505,57938095.05,362425189,3622.573599,1424.925377,2,1,4
214,57938.12045,57938120.45,363246310,1987.454611,1957.736918,4,2,1
215,57938.14548,57938145.48,364067271,2606.431826,2100.396066,1,4,2
216,57938.17018,57938170.18,364889000,3621.019892,1425.710164,2,1,4
217,57938.1956,57938195.6,365709017,1986.627125,1956.910164,4,2,1
